key,es,en
common.save,Guardar,Save
common.new,Nuevo…,New…
common.unsaved_changes,Cambios sin guardar,Unsaved changes
common.saved,Guardado.,Saved.
common.zoom,Zoom:,Zoom:
common.pencil,Lapiz,Pencil
common.eraser,Borrador,Eraser
common.eyedropper,Cuentagotas,Eyedropper
common.bucket,Cubo,Bucket
common.resize,Redimensionar,Resize
common.no_palettes,El proyecto no tiene paletas.,The project has no palettes.
common.error,Error,Error
palette.label,Paleta:,Palette:
palette.new,Nueva…,New…
palette.slot_hint,Casilla {index} — indice {ti} reservado (transparente),Slot {index} — index {ti} is reserved (transparent)
palette.edit_slot_group,Editar casilla seleccionada,Edit selected slot
palette.apply_color,Aplicar color a la casilla,Apply color to slot
palette.import_group,Importar colores de una imagen,Import colors from an image
palette.browse_image,Elegir imagen…,Choose image…
palette.no_image,Sin imagen,No image
palette.image_hint,"Haz clic en un color para cargarlo en el
editor, luego Aplicar o 'Fijar en la casilla
seleccionada'.","Click a color to load it into the
editor, then Apply or 'Set on the
selected slot'."
palette.colors_found,Colores encontrados (por frecuencia):,Colors found (by frequency):
palette.use_color,Fijar en la casilla seleccionada,Set on selected slot
palette.load_error_title,Cargar paleta,Load palette
palette.set_color_title,Fijar color,Set color
palette.set_color_transparent_msg,La casilla {ti} esta reservada para transparencia.,Slot {ti} is reserved for transparency.
palette.save_error_title,Guardar paleta,Save palette
palette.save_no_selection,Selecciona o crea una paleta primero.,Select or create a palette first.
palette.new_title,Nueva paleta,New palette
palette.new_name_label,Nombre de la nueva paleta:,Name of the new palette:
palette.new_exists,'{rel}' ya existe.,'{rel}' already exists.
palette.open_image_title,Abrir imagen,Open image
palette.image_filter,Imagenes (*.png *.jpg *.jpeg *.bmp *.gif *.webp),Images (*.png *.jpg *.jpeg *.bmp *.gif *.webp)
palette.import_error_title,Importar imagen,Import image
palette.import_error_msg,"No se pudo leer la imagen:
{exc}","Could not read the image:
{exc}"
sprite.label,Sprite:,Sprite:
sprite.frame_label,Fotograma:,Frame:
sprite.frame_count,/ {n},/ {n}
sprite.add_frame,+ Fotograma,+ Frame
sprite.remove_frame,- Fotograma,- Frame
sprite.blocks_w,Bloques ancho:,Blocks wide:
sprite.blocks_h,Bloques alto:,Blocks tall:
sprite.px_per_block,Px por bloque:,Px per block:
sprite.origin_x,Origen X:,Origin X:
sprite.origin_y,Origen Y:,Origin Y:
sprite.palette_hint,Paleta del sprite (0–30):,Sprite palette (0–30):
sprite.open_error_title,Abrir sprite,Open sprite
sprite.new_title,Nuevo sprite,New sprite
sprite.new_id_label,Id del sprite:,Sprite id:
sprite.save_error_title,Guardar sprite,Save sprite
sprite.import_button,Importar imagen…,Import image…
sprite.import_dialog_title,Importar imagen,Import image
sprite.import_file_label,Archivo:,File:
sprite.import_browse_button,Examinar…,Browse…
sprite.import_file_filter,Imagenes (*.png *.jpg *.jpeg *.webp *.bmp),Images (*.png *.jpg *.jpeg *.webp *.bmp)
sprite.import_alpha_cutoff_label,Umbral alfa (%):,Alpha cutoff (%):
sprite.import_no_sprite_open,Abre o crea un sprite primero.,Open or create a sprite first.
sprite.import_load_error,No se pudo cargar la imagen: {e},Could not load the image: {e}
sprite.import_frame_note,Se reemplaza el fotograma actual ({n}).,Replaces the current frame ({n}).
scene.label,Escena:,Scene:
scene.new_scene_button,Nueva…,New…
scene.delete_button,Eliminar,Delete
scene.activate_button,Activar,Activate
scene.mode_editor,Editor,Editor
scene.mode_draw,Dibujar,Draw
scene.paint_layer_label,Capa de pintura:,Paint layer:
scene.paint_layer_none,Ninguna (solo vista),None (view only)
scene.tool_brush,Pincel,Brush
scene.tool_eyedropper,Cuentagotas,Eyedropper
scene.tool_bucket,Cubo de pintura,Paint bucket
scene.current_tool_label,Herramienta actual:,Current tool:
scene.layer_n,Capa {n},Layer {n}
scene.layer_n_active,Capa {n} activa,Layer {n} active
scene.properties_group,Propiedades de la escena,Scene properties
scene.id_label,Id:,Id:
scene.palette_label,Paleta:,Palette:
scene.script_label,Script (stem):,Script (stem):
scene.create_script_button,Crear,Create
scene.world_steps_x,Pasos de mundo X:,World steps X:
scene.world_steps_y,Pasos de mundo Y:,World steps Y:
scene.background_group,Fondo,Background
scene.background_asset_label,Fondo (backgrounds/):,Background (backgrounds/):
scene.bg_layer_image_hint,"Capa 1 es la capa base: se hornea junto a los tiles en el mundo estatico (se dibuja una vez, no cada fotograma) y su scroll horizontal se controla con el grupo 'Bandas de parallax' que aparece debajo al activar esta capa, no con los campos Parallax X de esta fila. Capas 2-4 son independientes: cada una reserva su propio buffer en RAM y se repinta cada fotograma con scroll segun su propio Parallax X -- no hay limite de PSRAM documentado en este repo, prueba en hardware real. Usa imagenes pequenas con 'Repetir X' para las capas lejanas.","Layer 1 is the base layer: it's baked together with tiles into the static world buffer (drawn once, not every frame) and its horizontal scroll is controlled by the 'Parallax bands' group shown below once this layer is enabled, not this row's Parallax X fields. Layers 2-4 are independent: each reserves its own RAM buffer and repaints every scrolling frame using its own Parallax X -- there's no documented PSRAM ceiling in this repo, test on real hardware. Use small images with 'Repeat X' for distant layers."
scene.bg_layer1_parallax_disabled_hint,Capa 1 usa 'Bandas de parallax' (debajo) en su lugar.,Layer 1 uses 'Parallax bands' (below) instead.
scene.color_label,Color:,Color:
scene.opacity_label,Opacidad:,Opacity:
scene.tile_layers_group,Capas de tiles,Tile layers
scene.tile_layer_hint,Cambia a modo 'Dibujar' y elige 'Capa de pintura' a la derecha del lienzo para pintar celdas.,Switch to 'Draw' mode and pick a 'Paint layer' to the right of the canvas to paint cells.
scene.tile_layer_px_mismatch,"⚠ Este tileset usa {tileset_px}px pero el proyecto usa {project_px}px -- no se dibujara.","⚠ This tileset uses {tileset_px}px but the project uses {project_px}px -- it will not render."
scene.collision_layer_label,Capa de colision:,Collision layer:
scene.collision_layer_hint,Unica capa de tiles que bloquea actores (solido/oneway); las otras 3 son solo decorativas aunque tengan colision propia.,Only tile layer that blocks actors (solid/one-way); the other 3 are decoration only even if their own tiles have collision set.
scene.objects_group,Objetos en la escena,Objects in the scene
scene.object_catalog_label,Catalogo (arrastra al lienzo para colocar):,Catalog (drag onto the canvas to place):
scene.object_filter_placeholder,Filtrar por nombre...,Filter by name...
scene.object_catalog_drag_hint,Arrastra un objeto al lienzo para colocarlo ahi; o seleccionalo y usa Añadir.,Drag an object onto the canvas to place it there; or select it and use Add.
scene.add_object,Añadir,Add
scene.remove_object,Quitar,Remove
scene.x_label,X:,X:
scene.y_label,Y:,Y:
scene.object_id_label,Id:,Id:
scene.object_id_tooltip,Identificador unico de esta instancia en la escena (find_by_id en scripts). Letra inicial luego letras/digitos/_/- (max 64).,Unique identifier for this instance in the scene (find_by_id in scripts). Leading letter then letters/digits/_/- (max 64).
scene.object_tags_label,Tags:,Tags:
scene.object_tags_placeholder,separados por coma,comma-separated
scene.object_tags_tooltip,Tags separados por coma para find_by_tag en scripts (hasta 6 tags de hasta 20 caracteres cada uno).,Comma-separated tags for find_by_tag in scripts (up to 6 tags of up to 20 characters each).
scene.text_labels_group,Etiquetas de texto,Text labels
scene.add_label,Añadir,Add
scene.remove_label,Quitar,Remove
scene.label_id_label,Id:,Id:
scene.label_text_label,Texto:,Text:
scene.label_font_label,Fuente:,Font:
scene.label_color_label,Color:,Color:
scene.label_color_auto,Auto (colores de la fuente),Auto (font's own colors)
scene.label_blink_label,Parpadeo:,Blink:
scene.label_blink_off,Sin parpadeo,No blink
